Method,Regime,Asset,Count,Mean_Monthly_Log_Return,Std_Monthly_Log_Return,Annualized_Return,Annualized_Volatility,Sharpe_Ratio
GMM,Growth,Nifty50_USD,119,0.0049539676283650086,0.05549553056950022,0.0594476115403801,0.19224215707873232,0.30923296140520035
GMM,Growth,SP500,119,0.007445809687512808,0.043178733906122695,0.0893497162501537,0.14957552186380293,0.5973552031562472
GMM,Growth,Gold,119,0.005614555616237049,0.03994644082258549,0.06737466739484459,0.13837853017252313,0.4868867107552405
GMM,Growth,USBond,119,-0.00019105498037653719,0.03233506109109684,-0.0022926597645184462,0.11201193735124651,-0.020467994918516003
GMM,Inflationary,Nifty50_USD,38,0.02430704268088854,0.07790429545432788,0.2916845121706625,0.26986839570950605,1.0808398345563959
GMM,Inflationary,SP500,38,0.002975918886864274,0.024887290885084182,0.03571102664237129,0.08621210455142322,0.4142228846886647
GMM,Inflationary,Gold,38,0.020038443418993867,0.04478473407452729,0.2404613210279264,0.1551388696410848,1.54997468773774
GMM,Inflationary,USBond,38,0.004997318479740411,0.0240207929864918,0.059967821756884934,0.08321046778139589,0.7206764167511684
GMM,Risk-Off,Nifty50_USD,12,0.020550274778984506,0.16731989967710645,0.24660329734781405,0.5796131347161515,0.42546188582938305
GMM,Risk-Off,SP500,12,-0.00023162160153547898,0.09579486510494845,-0.0027794592184257477,0.3318431469319552,-0.008375822264594419
GMM,Risk-Off,Gold,12,0.01571077155319175,0.08033886122065863,0.188529258638301,0.27830197891281144,0.6774269423982964
GMM,Risk-Off,USBond,12,0.003075958179246132,0.07551504198877869,0.036911498150953584,0.2615917789205236,0.14110343338491527
GMM,Stagflation,Nifty50_USD,70,0.00015806167767692673,0.07928560417616858,0.0018967401321231207,0.2746533894838383,0.006905941105215207
GMM,Stagflation,SP500,70,0.008759728031196339,0.039786330790726784,0.10511673637435606,0.13782389275256163,0.7626887782300166
GMM,Stagflation,Gold,70,0.0017463458016195102,0.05441145849837972,0.020956149619434122,0.18848682126623809,0.111180980604652
GMM,Stagflation,USBond,70,0.006380220985037871,0.036893625135243885,0.07656265182045446,0.1278032664192852,0.5990664711907657
KMeans,Growth,Nifty50_USD,38,0.02430704268088854,0.07790429545432788,0.2916845121706625,0.26986839570950605,1.0808398345563959
KMeans,Growth,SP500,38,0.002975918886864274,0.024887290885084182,0.03571102664237129,0.08621210455142322,0.4142228846886647
KMeans,Growth,Gold,38,0.020038443418993867,0.04478473407452729,0.2404613210279264,0.1551388696410848,1.54997468773774
KMeans,Growth,USBond,38,0.004997318479740411,0.0240207929864918,0.059967821756884934,0.08321046778139589,0.7206764167511684
KMeans,Inflationary,Nifty50_USD,31,0.008323911073066561,0.0406619675800405,0.09988693287679873,0.1408571875686973,0.7091362152043749
KMeans,Inflationary,SP500,31,0.011526777158567285,0.04886161866200497,0.1383213259028074,0.16926161212529645,0.8172043510989049
KMeans,Inflationary,Gold,31,0.010992857190813134,0.03893462738018806,0.1319142862897576,0.13487350559249608,0.9780592986759059
KMeans,Inflationary,USBond,31,-0.000973504696763503,0.026040032047549663,-0.011682056361162037,0.09020531707415567,-0.12950518594772514
KMeans,Risk-Off,Nifty50_USD,75,-5.906279162888115e-05,0.09882021041208,-0.0007087534995465738,0.34232325049673906,-0.0020704217388626523
KMeans,Risk-Off,SP500,75,0.00558392365912002,0.051416081974517185,0.06700708390944024,0.17811053261198015,0.3762106761839708
KMeans,Risk-Off,Gold,75,0.004163548107711354,0.05950847285683262,0.04996257729253625,0.2061433969377351,0.24236807016247666
KMeans,Risk-Off,USBond,75,0.005264411587309382,0.045509012252475736,0.06317293904771258,0.15764784284712505,0.400721874190013
KMeans,Stagflation,Nifty50_USD,95,0.006248191880713027,0.05969815244170771,0.07497830256855632,0.20680046629405954,0.3625635082560262
KMeans,Stagflation,SP500,95,0.007582405151892157,0.04163742358946796,0.09098886182270588,0.14423626630645078,0.6308320656982821
KMeans,Stagflation,Gold,95,0.00343011475884544,0.04084306703101664,0.041161377106145286,0.1414845344693243,0.2909249216568586
KMeans,Stagflation,USBond,95,0.0010119915893711752,0.033767425467345825,0.012143899072454101,0.11697379310047641,0.10381726325676141
