Stress_Period,Start,End,Strategy,Months,Total_Return,Annualized_Vol,Max_Drawdown
EuroDebt_2011,2011-07-01,2011-12-31,EqualWeight,6,-0.009199876787748584,0.12234732567324973,-0.06031934237223324
EuroDebt_2011,2011-07-01,2011-12-31,ClassicalMarkowitz,6,0.07794070467378411,0.15232153482924612,-0.05671944841465759
EuroDebt_2011,2011-07-01,2011-12-31,MLMarkowitz,6,0.06149572070219933,0.0891023951832412,-0.035192351332635985
EuroDebt_2011,2011-07-01,2011-12-31,MLRegimeAware,6,0.06149572070219933,0.0891023951832412,-0.035192351332635985
Taper_Tantrum_2013,2013-05-01,2013-09-30,EqualWeight,5,-0.08245601738519237,0.13159956082179466,-0.07539787500959882
Taper_Tantrum_2013,2013-05-01,2013-09-30,ClassicalMarkowitz,5,-0.11487858104854409,0.1381069054277954,-0.07351125203825515
Taper_Tantrum_2013,2013-05-01,2013-09-30,MLMarkowitz,5,-0.04701894113586469,0.07065412452261488,-0.040677529445287464
Taper_Tantrum_2013,2013-05-01,2013-09-30,MLRegimeAware,5,-0.04701894113586469,0.07065412452261488,-0.040677529445287464
Oil_China_2015_2016,2015-08-01,2016-02-29,EqualWeight,7,-0.03056161744671526,0.07574271286508624,-0.03532456424079222
Oil_China_2015_2016,2015-08-01,2016-02-29,ClassicalMarkowitz,7,-0.0013856119763611119,0.09086422132542372,-0.040128351037846954
Oil_China_2015_2016,2015-08-01,2016-02-29,MLMarkowitz,7,-0.06577459546104403,0.1257633551184201,-0.04547421594778578
Oil_China_2015_2016,2015-08-01,2016-02-29,MLRegimeAware,7,-0.06577459546104403,0.1257633551184201,-0.04547421594778578
Volmageddon_2018,2018-01-01,2018-04-30,EqualWeight,4,-0.01809943092665367,0.09412593783767981,-0.04553461617383181
Volmageddon_2018,2018-01-01,2018-04-30,ClassicalMarkowitz,4,-0.006516945684262976,0.11870751220206767,-0.05140885530602468
Volmageddon_2018,2018-01-01,2018-04-30,MLMarkowitz,4,0.0022205308201970198,0.14029341944019016,-0.05354045447185629
Volmageddon_2018,2018-01-01,2018-04-30,MLRegimeAware,4,0.0022205308201970198,0.14029341944019016,-0.05354045447185629
COVID_Crash_2020,2020-02-01,2020-04-30,EqualWeight,3,-0.04128285803766285,0.3133140306329034,-0.08947577666707063
COVID_Crash_2020,2020-02-01,2020-04-30,ClassicalMarkowitz,3,-0.06645384640443075,0.2821797123423298,-0.0911442085617944
COVID_Crash_2020,2020-02-01,2020-04-30,MLMarkowitz,3,-0.05385705019276488,0.22235088161336836,-0.06883286079126849
COVID_Crash_2020,2020-02-01,2020-04-30,MLRegimeAware,3,-0.05385705019276488,0.22235088161336836,-0.06883286079126849
Russia_Inflation_2022,2022-01-01,2022-10-31,EqualWeight,10,-0.12918875899474702,0.11033382988209334,-0.13395337522797301
Russia_Inflation_2022,2022-01-01,2022-10-31,ClassicalMarkowitz,10,-0.14388463214829927,0.07638830062793864,-0.13728727557442655
Russia_Inflation_2022,2022-01-01,2022-10-31,MLMarkowitz,10,-0.12840560579758775,0.07543551256394383,-0.12510854080858436
Russia_Inflation_2022,2022-01-01,2022-10-31,MLRegimeAware,10,-0.12840560579758775,0.07543551256394383,-0.12510854080858436
