Date,regime,RegimeAware_ML,EqualWeight,ClassicalMarkowitz,RegimeAware_ML_CumulativeWealth,RegimeAware_ML_Drawdown,EqualWeight_CumulativeWealth,EqualWeight_Drawdown,ClassicalMarkowitz_CumulativeWealth,ClassicalMarkowitz_Drawdown
2025-01-31,Growth,0.02136578658067357,0.020301197103502755,0.041775205995702905,1.0213657865806736,0.0,1.0203011971035028,0.0,1.0417752059957028,0.0
2025-02-28,Growth,-0.02949962840180702,-0.008554251945156632,-0.004334794213774711,0.9912358754142244,-0.029499628401806977,1.0115732836035345,-0.008554251945156577,1.0372593248606987,-0.004334794213774695
2025-03-31,Growth,0.011112279083381974,0.030905646106204887,0.03639395018407322,1.0022507650992878,-0.01871515742208185,1.042836609517077,0.0,1.0750092890576446,0.0
2025-04-30,Growth,0.018113359350470044,0.024548321519308025,0.03450211131412365,1.0204048933668148,-0.0009407924432984771,1.0684364978996073,0.0,1.1120993792124285,0.0
2025-05-31,Growth,0.015652021030339525,0.01585353599736028,0.017759997177371752,1.0363762922172535,0.0,1.0853749943799522,0.0,1.131850261048198,0.0
2025-06-30,Growth,0.029822643258188924,0.024876593823403126,0.02098181773541549,1.0672837726612932,0.0,1.112375427261221,0.0,1.1555985369292938,0.0
2025-07-31,Growth,-0.001856112179304481,-0.011187490141011364,-0.00440787626625653,1.0653027742520824,-0.001856112179304592,1.0999307381356327,-0.011187490141011391,1.1505048015650425,-0.004407876266256383
2025-08-31,Growth,0.018675491572864994,0.01825462546372178,0.032307120558067864,1.085197827235177,0.0,1.1200095617963337,0.0,1.1876742988918403,0.0
2025-09-30,Growth,0.029845082900245325,0.03858053543262854,0.07708686970884626,1.117585646352177,0.0,1.1632201303801,0.0,1.279228392827061,0.0
2025-10-31,Growth,0.03146432557763194,0.027838509564817204,0.03211458456953632,1.15274972498989,0.0,1.1956024451056744,0.0,1.3203102812322576,0.0
2025-11-30,Growth,0.015305563712271831,0.018807050118339608,0.03273533440014673,1.1703932093500267,0.0,1.218088200212386,0.0,1.3635310798003473,0.0
2025-12-31,Growth,-0.00016620899585707317,0.0015759323998036923,0.012238775368647084,1.1701986794699426,-0.00016620899585717552,1.2200078248729194,0.0,1.3802190303941924,0.0
2026-01-31,Growth,0.019112617858464527,0.020475032533925658,0.07436563415308411,1.1925642396491316,0.0,1.2449875247788362,0.0,1.4828598938596114,0.0
2026-02-28,Growth,0.01793530347860651,0.026521678291179795,0.053673192784885825,1.2139532412049725,0.0,1.278006683387553,0.0,1.5624497188157138,0.0
