Regime,Asset,Count,Mean_Monthly_Log_Return,Std_Monthly_Log_Return,Annualized_Return,Annualized_Volatility,Sharpe_Ratio
Growth,Nifty50_USD,119,0.0049539676283650086,0.05549553056950022,0.0594476115403801,0.19224215707873232,0.30923296140520035
Growth,SP500,119,0.007445809687512808,0.043178733906122695,0.0893497162501537,0.14957552186380293,0.5973552031562472
Growth,Gold,119,0.005614555616237049,0.03994644082258549,0.06737466739484459,0.13837853017252313,0.4868867107552405
Growth,USBond,119,-0.00019105498037653719,0.03233506109109684,-0.0022926597645184462,0.11201193735124651,-0.020467994918516003
Inflationary,Nifty50_USD,38,0.02430704268088854,0.07790429545432788,0.2916845121706625,0.26986839570950605,1.0808398345563959
Inflationary,SP500,38,0.002975918886864274,0.024887290885084182,0.03571102664237129,0.08621210455142322,0.4142228846886647
Inflationary,Gold,38,0.020038443418993867,0.04478473407452729,0.2404613210279264,0.1551388696410848,1.54997468773774
Inflationary,USBond,38,0.004997318479740411,0.0240207929864918,0.059967821756884934,0.08321046778139589,0.7206764167511684
Risk-Off,Nifty50_USD,12,0.020550274778984506,0.16731989967710645,0.24660329734781405,0.5796131347161515,0.42546188582938305
Risk-Off,SP500,12,-0.00023162160153547898,0.09579486510494845,-0.0027794592184257477,0.3318431469319552,-0.008375822264594419
Risk-Off,Gold,12,0.01571077155319175,0.08033886122065863,0.188529258638301,0.27830197891281144,0.6774269423982964
Risk-Off,USBond,12,0.003075958179246132,0.07551504198877869,0.036911498150953584,0.2615917789205236,0.14110343338491527
Stagflation,Nifty50_USD,70,0.00015806167767692673,0.07928560417616858,0.0018967401321231207,0.2746533894838383,0.006905941105215207
Stagflation,SP500,70,0.008759728031196339,0.039786330790726784,0.10511673637435606,0.13782389275256163,0.7626887782300166
Stagflation,Gold,70,0.0017463458016195102,0.05441145849837972,0.020956149619434122,0.18848682126623809,0.111180980604652
Stagflation,USBond,70,0.006380220985037871,0.036893625135243885,0.07656265182045446,0.1278032664192852,0.5990664711907657
